config_id,hidden_dims,dropout,batchnorm,early_stopping,cross_val,accuracy,precision,recall,f1_score,specificity,specificity_per_class,precision_adenocarcinoma,recall_adenocarcinoma,f1_adenocarcinoma,precision_benigno,recall_benigno,f1_benigno,precision_carcinoma squamoso,recall_carcinoma squamoso,f1_carcinoma squamoso,test_accuracy,test_precision,test_recall,test_f1_score,test_specificity,test_specificity_per_class,conf_matrix,conf_matrix_test,test_precision_adenocarcinoma,test_precision_benigno,test_precision_carcinoma squamoso,test_recall_adenocarcinoma,test_recall_benigno,test_recall_carcinoma squamoso,test_f1_adenocarcinoma,test_f1_benigno,test_f1_carcinoma squamoso
1,[64],0.0,False,True,True,65.30671082481223,0.6447367349617561,0.6537401186172981,0.6463208910207983,0.826513467683189,"0.8111,0.8410,0.8275",0.5680235672201392,0.4957924263674614,0.5294558162755866,0.7288809381832637,0.8644507307873645,0.7908983069125418,0.6373056994818653,0.6009771986970684,0.6186085498742665,85.11111111111111,0.8513419368549314,0.8507749866308121,0.8508437694925718,0.9257131124551904,"0.8965,0.9846,0.8961","[array([2121,  839, 1318], dtype=int64), array([ 423, 3667,  152], dtype=int64), array([1190,  525, 2583], dtype=int64)]","[array([576,  22, 155], dtype=int64), array([ 33, 723,   2], dtype=int64), array([122,   1, 616], dtype=int64)]",0.7879616963064295,0.9691689008042895,0.796895213454075,0.7649402390438247,0.9538258575197889,0.8335588633288228,0.7762803234501348,0.961436170212766,0.8148148148148148
2,[128],0.1,False,True,True,66.29741131900445,0.6565286401557356,0.6634736762599579,0.6546428420405351,0.8313699177434178,"0.8468,0.8794,0.7678",0.5900971482293952,0.44015895278167366,0.5042174320524836,0.778681506849315,0.8576143328618576,0.8162441103881535,0.6008072653884965,0.6926477431363425,0.6434669836809683,85.64444444444445,0.8565475882525394,0.8560447666234238,0.8562286148214978,0.9283631752357883,"0.8965,0.9853,0.9034","[array([1883,  677, 1718], dtype=int64), array([ 344, 3638,  260], dtype=int64), array([ 964,  357, 2977], dtype=int64)]","[array([589,  22, 142], dtype=int64), array([ 28, 726,   4], dtype=int64), array([127,   0, 612], dtype=int64)]",0.7916666666666666,0.9705882352941176,0.8073878627968337,0.7822045152722443,0.9577836411609498,0.8281461434370772,0.7869071476285905,0.9641434262948207,0.8176352705410822
3,"[128, 64]",0.3,False,True,True,66.21164745146186,0.6546318671564035,0.6626319533920907,0.6551461081453601,0.8309708212231822,"0.8343,0.8696,0.7890",0.5838235294117647,0.4640018700327256,0.5170617348267778,0.7636863242443458,0.8517208863743517,0.8053048032987853,0.6163857478131001,0.6721731037691949,0.6430717863105175,85.51111111111112,0.8561764005231541,0.8544647843360321,0.8549532520494528,0.9276407857295278,"0.8778,0.9846,0.9206","[array([1985,  706, 1587], dtype=int64), array([ 418, 3613,  211], dtype=int64), array([ 997,  412, 2889], dtype=int64)]","[array([612,  22, 119], dtype=int64), array([ 28, 729,   1], dtype=int64), array([155,   1, 583], dtype=int64)]",0.769811320754717,0.9694148936170213,0.829302987197724,0.8127490039840638,0.9617414248021108,0.7889039242219216,0.7906976744186046,0.9655629139072848,0.8085991678224688
4,"[128, 64]",0.3,True,True,True,70.01097765330825,0.6960782784278079,0.700578359358481,0.697139208739336,0.8499399285635789,"0.8275,0.9104,0.8119",0.6090764331210191,0.5364656381486677,0.5704697986577181,0.8271827182718272,0.8665723715228666,0.8464195256734975,0.6519756838905775,0.6986970684039088,0.6745283018867925,86.66666666666667,0.8680236567522188,0.8666452011442165,0.8651995729432026,0.933526756945799,"0.9319,0.9806,0.8882","[array([2295,  509, 1474], dtype=int64), array([ 437, 3676,  129], dtype=int64), array([1036,  259, 3003], dtype=int64)]","[array([558,  28, 167], dtype=int64), array([ 27, 729,   2], dtype=int64), array([ 75,   1, 663], dtype=int64)]",0.8454545454545455,0.9617414248021108,0.796875,0.7410358565737052,0.9617414248021108,0.8971583220568335,0.7898089171974523,0.9617414248021108,0.8440483768300445
5,"[256, 128]",0.5,True,True,True,70.07344406144564,0.694028552409796,0.7012746765680897,0.6946625770326725,0.8502761008969019,"0.8472,0.8928,0.8108",0.6263956484397366,0.5114539504441328,0.5631192896667095,0.80475886976843,0.892975011786893,0.8465750363169069,0.6509311390212213,0.6993950674732433,0.6742934051144011,86.57777777777778,0.8663154982774475,0.8653183028556595,0.8657692098259103,0.9330009167371288,"0.8945,0.9879,0.9166","[array([2188,  599, 1491], dtype=int64), array([ 333, 3788,  121], dtype=int64), array([ 972,  320, 3006], dtype=int64)]","[array([610,  18, 125], dtype=int64), array([ 29, 728,   1], dtype=int64), array([129,   0, 610], dtype=int64)]",0.7942708333333334,0.9758713136729222,0.8288043478260869,0.8100929614873837,0.9604221635883905,0.8254397834912043,0.8021038790269559,0.9680851063829787,0.8271186440677966
6,"[512, 256, 128]",0.5,True,True,True,69.19988215837647,0.6921258586531466,0.6924417086786431,0.6922428184624154,0.8458742443241128,"0.7947,0.9207,0.8222",0.5823207052656659,0.5712949976624591,0.5767551622418879,0.8393953708077468,0.8378123526638378,0.8386031146767343,0.6546614998860268,0.6682177757096324,0.6613701784686241,86.84444444444445,0.8706567462941069,0.8678037005101569,0.8684804731476733,0.9342804721457737,"0.8811,0.9873,0.9345","[array([2444,  447, 1387], dtype=int64), array([ 560, 3554,  128], dtype=int64), array([1193,  233, 2872], dtype=int64)]","[array([635,  19,  99], dtype=int64), array([ 29, 729,   0], dtype=int64), array([149,   0, 590], dtype=int64)]",0.7810578105781057,0.9745989304812834,0.8563134978229318,0.8432934926958832,0.9617414248021108,0.7983761840324763,0.8109833971902938,0.9681274900398407,0.8263305322128851
7,"[512, 256, 128]",0.7,True,True,True,68.67688995503636,0.6847424816825359,0.6873590334552255,0.6858306671489288,0.8432801757463192,"0.7815,0.9130,0.8353",0.5633044699274514,0.5626460963066854,0.5629750906326746,0.831374321880651,0.867043847241867,0.8488345257327486,0.659548653239505,0.6323871568171242,0.6456823850813636,83.55555555555556,0.8367781524801385,0.8350578968903511,0.835811781689444,0.9179504748015285,"0.8758,0.9899,0.8882","[array([2407,  512, 1359], dtype=int64), array([ 520, 3678,   44], dtype=int64), array([1346,  234, 2718], dtype=int64)]","[array([569,  15, 169], dtype=int64), array([ 36, 722,   0], dtype=int64), array([150,   0, 589], dtype=int64)]",0.7536423841059603,0.9796472184531886,0.7770448548812665,0.7556440903054449,0.9525065963060686,0.79702300405954,0.7546419098143236,0.9658862876254181,0.7869071476285905
8,"[512, 256, 128, 64]",0.5,True,True,True,68.59886857432939,0.6811121578525009,0.6865219447660565,0.6832058144144918,0.8429105349411534,"0.8068,0.8941,0.8278",0.5845921450151057,0.5427769985974754,0.5629090909090909,0.800702370500439,0.85997171145686,0.829279381677654,0.6580419580419581,0.6568171242438343,0.6574289706567303,84.35555555555555,0.846454359411872,0.8432061768433684,0.8444538280196241,0.9219623973720724,"0.8818,0.9953,0.8888","[array([2322,  583, 1373], dtype=int64), array([ 500, 3648,   94], dtype=int64), array([1150,  325, 2823], dtype=int64)]","[array([579,   7, 167], dtype=int64), array([ 45, 712,   1], dtype=int64), array([132,   0, 607], dtype=int64)]",0.7658730158730159,0.9902642559109874,0.7832258064516129,0.7689243027888446,0.9393139841688655,0.8213802435723951,0.7673956262425448,0.964116452268111,0.8018494055482166
9,"[1024, 512, 256]",0.5,True,True,True,69.17636252855498,0.699103977349845,0.6921087259410855,0.6948840998525346,0.8457098795878607,"0.7852,0.9455,0.8063",0.5777112594980428,0.5864890135577373,0.5820670455863589,0.8802564102564102,0.8092880716643093,0.8432817489560305,0.639344262295082,0.6805490926012099,0.6593035050152147,86.04444444444445,0.8599063314928057,0.8600032978507598,0.8599537530473383,0.9303212684858518,"0.8958,0.9792,0.9159","[array([2509,  325, 1444], dtype=int64), array([ 603, 3433,  206], dtype=int64), array([1231,  142, 2925], dtype=int64)]","[array([597,  30, 126], dtype=int64), array([ 28, 729,   1], dtype=int64), array([128,   1, 610], dtype=int64)]",0.7928286852589641,0.9592105263157895,0.8276797829036635,0.7928286852589641,0.9617414248021108,0.8254397834912043,0.7928286852589641,0.9604743083003953,0.8265582655826558
10,"[1024, 512, 256, 128]",0.6,True,True,True,69.34006560418484,0.6889230589380059,0.6940129741911686,0.690628070570579,0.8466343963893466,"0.8013,0.8928,0.8458",0.5910843373493976,0.5733987844787284,0.5821072615092548,0.8019823313940961,0.8774163130598774,0.8380051784307103,0.673702508070524,0.6312238250348999,0.6517717717717718,85.77777777777777,0.859176614254583,0.8572583005018536,0.8580716557678899,0.9290131365388342,"0.8844,0.9913,0.9113","[array([2453,  596, 1229], dtype=int64), array([ 435, 3722,   85], dtype=int64), array([1262,  323, 2713], dtype=int64)]","[array([607,  13, 133], dtype=int64), array([ 32, 725,   1], dtype=int64), array([141,   0, 598], dtype=int64)]",0.7782051282051282,0.9823848238482384,0.8169398907103825,0.8061088977423638,0.9564643799472295,0.8092016238159675,0.79191128506197,0.9692513368983957,0.8130523453433038
